,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
2890,2008-06-10,2008-06-15,Internationale Thüringen-Rundfahrt U23,GERMANY,MU,2.2U,2008,6.0,GERMANY,EUROPE,Germany,DE,51.165691,10.451526,Europe
2891,2008-06-10,2008-06-15,Tour de Beauce,CANADA,ME,2.2,2008,6.0,CANADA,AMERICAS,Canada,CA,56.130366,-106.346771,Americas
2892,2008-06-12,2008-06-15,Iurreta-Emakumeen Bira,SPAIN,WE,2.1,2008,4.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2893,2008-06-12,2008-06-15,GP Internacional CTT Correios de Portugal,PORTUGAL,ME,2.1,2008,4.0,PORTUGAL,EUROPE,Portugal,PT,39.399872,-8.224454,Europe
2894,2008-06-12,2008-06-15,Ronde de l'Oise,FRANCE,ME,2.2,2008,4.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2895,2008-06-13,2008-06-15,Delta Tour Zeeland,NETHERLANDS,ME,2.1,2008,3.0,NETHERLANDS,EUROPE,Netherlands,NL,52.132633,5.291266,Europe
2896,2008-06-11,2008-06-17,Circuito Montañés,SPAIN,ME,2.2,2008,7.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
2897,2008-06-20,2008-06-20,Abergavenny Criterium International,GREAT BRITAIN,ME,1.2,2008,1.0,GREAT BRITAIN,EUROPE,United Kingdom,GB,55.378051,-3.435973,Europe
2898,2008-06-17,2008-06-21,Ster Elektrotoer,NETHERLANDS,ME,2.1,2008,5.0,NETHERLANDS,EUROPE,Netherlands,NL,52.132633,5.291266,Europe
2899,2008-06-19,2008-06-21,Rabo Ster Zeeuwsche Eilanden,NETHERLANDS,WE,2.2,2008,3.0,NETHERLANDS,EUROPE,Netherlands,NL,52.132633,5.291266,Europe
2900,2008-06-14,2008-06-22,Tour de Suisse,SWITZERLAND,ME,2.UWT,2008,9.0,SWITZERLAND,EUROPE,Switzerland,CH,46.818188,8.227512,Europe
2901,2008-06-16,2008-06-22,Tour de Serbie,SERBIA,ME,2.2,2008,7.0,SERBIA,EUROPE,Serbia,RS,44.016521,21.005859,Europe
2902,2008-06-17,2008-06-22,Grande Boucle Féminine Internationale,FRANCE,WE,2.2,2008,6.0,FRANCE,EUROPE,France,FR,46.227638,2.213749,Europe
2903,2008-06-19,2008-06-22,Vuelta al Besaya,SPAIN,MJ,2.1,2008,4.0,SPAIN,EUROPE,Spain,ES,40.463667,-3.74922,Europe
