Rank,Category,Name,Nationality,Team,Age,Points,Year
9,WE,BATTY Emily,CAN,TREK FACTORY RACING XC,28,1350,2016
10,WE,SPITZ Sabine,GER,,45,1293,2016
1,WE,NEFF Jolanda,SUI,STOECKLI PRO TEAM,22,2096,2015
2,WE,DAHLE FLESJAA Gunn-Rita,NOR,MULTIVAN MERIDA BIKING TEAM,42,1602,2015
3,WE,LANGVAD Annika,DEN,SPECIALIZED RACING,31,1590,2015
4,WE,BELOMOINA Yana,UKR,BETCH.NL SUPERIOR BRENTJENS MTB RACING TEAM,23,1542,2015
5,WE,WLOSZCZOWSKA Maja,POL,KROSS RACING TEAM,32,1430,2015
6,WE,KALENTYEVA Irina,RUS,MOEBEL MAERKI MTB PRO TEAM,38,1400,2015
7,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,35,1352,2015
8,WE,BATTY Emily,CAN,TREK FACTORY RACING,27,1254,2015
9,WE,TERPSTRA Anne,NED,HABITAT MOUNTAINBIKETEAM,24,1222,2015
10,WE,MICHIELS Githa,BEL,VERSLUYS TEAM,32,1220,2015
1,WE,NEFF Jolanda,SUI,LIV PRO XC TEAM,21,2417,2014
2,WE,ŽAKELJ Tanja,SLO,UNIOR TOOLS TEAM,26,1626,2014
3,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,34,1615,2014
4,WE,LANGVAD Annika,DEN,SPECIALIZED RACING XC,30,1562,2014
5,WE,DAHLE FLESJAA Gunn-Rita,NOR,MULTIVAN MERIDA BIKING TEAM,41,1510,2014
6,WE,PINTARIC Blaza,SLO,FEENSTRA FELT PB KENDA BIKE TEAM,34,1485,2014
7,WE,WLOSZCZOWSKA Maja,POL,LIV PRO XC TEAM,31,1398,2014
8,WE,SPITZ Sabine,GER,SABINE SPITZ HAIBIKE PRO TEAM,43,1358,2014
9,WE,STIRNEMANN Kathrin,SUI,SABINE SPITZ HAIBIKE PRO TEAM,25,1332,2014
10,WE,KALENTYEVA Irina,RUS,,37,1270,2014
1,WE,LECHNER Eva,ITA,TEAM COLNAGO SUDTIROL,28,1907,2013
2,WE,ŽAKELJ Tanja,SLO,UNIOR TOOLS TEAM,25,1820,2013
3,WE,WLOSZCZOWSKA Maja,POL,GIANT PRO XC TEAM,30,1726,2013
4,WE,ENGEN Alexandra,SWE,GHOST FACTORY RACING TEAM,25,1380,2013
5,WE,NEFF Jolanda,SUI,GIANT PRO XC TEAM,20,1305,2013
6,WE,LEUMANN Katrin,SUI,GHOST FACTORY RACING TEAM,31,1289,2013
7,WE,SÜSS Esther,SUI,WHEELER - IXS TEAM,39,1230,2013
8,WE,NASH Katerina,CZE,LUNA PRO TEAM,36,1187,2013
9,WE,MORATH Adelheid,GER,SABINE SPITZ HAIBIKE PRO TEAM,29,1129,2013
10,WE,STIRNEMANN Kathrin,SUI,SABINE SPITZ HAIBIKE PRO TEAM,24,1128,2013
1,WE,BRESSET Julie,FRA,BH - SR SUNTOUR - PEISEY VALLANDRY,23,1962,2012
2,WE,SPITZ Sabine,GER,SABINE SPITZ HAIBIKE TEAM,41,1734,2012
3,WE,DAHLE FLESJAA Gunn-Rita,NOR,MULTIVAN MERIDA BIKING TEAM,39,1713,2012
4,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,32,1648,2012
5,WE,SÜSS Esther,SUI,WHEELER - IXS TEAM,38,1442,2012
6,WE,GOULD Georgia,USA,LUNA PRO TEAM,32,1423,2012
7,WE,LAST Annie,GBR,MILKA BRENTJENS MTB RACING TEAM,22,1310,2012
8,WE,ENGEN Alexandra,SWE,GHOST FACTORY RACING TEAM,24,1308,2012
9,WE,KALENTYEVA Irina,RUS,TOPEAK ERGON RACING TEAM,35,1290,2012
10,WE,LEUMANN Katrin,SUI,GHOST FACTORY RACING TEAM,30,1261,2012
1,WE,BRESSET Julie,FRA,BH - SUNTOUR - PEISEY VALLANDRY,22,2110,2011
2,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,31,1930,2011
3,WE,WLOSZCZOWSKA Maja,POL,CCC POLKOWICE,28,1815,2011
4,WE,LECHNER Eva,ITA,COLNAGO FARBE SUDTIROL,26,1472,2011
5,WE,KALENTYEVA Irina,RUS,TOPEAK ERGON RACING TEAM,34,1470,2011
6,WE,DAHLE FLESJAA Gunn-Rita,NOR,MULTIVAN MERIDA BIKING TEAM,38,1355,2011
7,WE,SCHNEITTER Nathalie,SUI,COLNAGO FARBE SUDTIROL,25,1257,2011
8,WE,ŽAKELJ Tanja,SLO,ORBEA GEAX,23,1213,2011
9,WE,OSL Elisabeth,AUT,GHOST FACTORY RACING TEAM,26,1174,2011
10,WE,PINTARIC Blaza,SLO,FELT OETZTAL X - BIONIC TEAM,31,1144,2011
1,WE,OSL Elisabeth,AUT,CENTRAL PRO TEAM,25,1493,2010
2,WE,ROCKWELL Willow,USA,SUBARU-TREK,33,1467,2010
3,WE,LECHNER Eva,ITA,COLNAGO ARREGHINI SUDTIROL,25,1416,2010
4,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,30,1364,2010
5,WE,WLOSZCZOWSKA Maja,POL,CCC POLKOWICE,27,1312,2010
6,WE,MCCONNELOUG Mary,USA,,39,1275,2010
7,WE,LEUMANN Katrin,SUI,,28,1270,2010
8,WE,SCHNEITTER Nathalie,SUI,COLNAGO ARREGHINI SUDTIROL,24,1221,2010
9,WE,KALENTYEVA Irina,RUS,TOPEAK ERGON RACING TEAM,33,1198,2010
10,WE,GOULD Georgia,USA,LUNA PRO TEAM,30,1150,2010
